ID,Product Name,Category,Sub-Category,Brand,Color,Size/Variant,Material,Price (₹),MRP (₹),Discount (%),Rating,Availability,Location,URL
RLD-0001,Samsung Galaxy Buds FE,Electronics,Earbuds,Samsung,White,Standard,Plastic,"6,999","9,999",30%,4.6,In Stock,Mumbai,https://www.reliancedigital.in/samsung-galaxy-buds-fe-white/p/493666340
RLD-0002,Apple AirPods Pro (2nd Gen),Electronics,Earbuds,Apple,White,Standard,Plastic,"21,990","26,900",18%,4.8,In Stock,Delhi,https://www.reliancedigital.in/apple-airpods-pro-2nd-generation-usb-c/p/493841473
RLD-0003,"HP 15s Laptop (i3, 8GB, 512GB SSD)",Computers,Laptop,HP,Silver,8GB/512GB,Metal/Plastic,"36,990","48,999",25%,4.5,In Stock,Bengaluru,https://www.reliancedigital.in/hp-15s-intel-core-i3-11th-gen-8gb-512gb-ssd/p/493174273
RLD-0004,Dell Inspiron 14 Laptop (i5 12th Gen),Computers,Laptop,Dell,Platinum Silver,8GB/512GB,Metal,"52,990","68,990",23%,4.4,In Stock,Chennai,https://www.reliancedigital.in/dell-inspiron-14-intel-core-i5-12th-gen/p/493665807
RLD-0005,Sony WH-1000XM5 Wireless Headphones,Electronics,Headphones,Sony,Black,Standard,Plastic,"29,990","34,990",14%,4.7,In Stock,Hyderabad,https://www.reliancedigital.in/sony-wh-1000xm5-wireless-headphones/p/493297465
RLD-0006,"LG 32"" HD Ready Smart LED TV",Electronics,Television,LG,Black,32-inch,Plastic/Metal,"13,990","21,990",36%,4.4,In Stock,Pune,https://www.reliancedigital.in/lg-80-cm-hd-ready-smart-tv/p/491998053
RLD-0007,Google Chromecast with Google TV,Electronics,Streaming Device,Google,White,Standard,Plastic,"5,999","6,999",14%,4.6,In Stock,Jaipur,https://www.reliancedigital.in/google-chromecast-4-0-google-tv/p/492571351
RLD-0008,Philips HP8100 Hair Dryer,Beauty,Personal Care,Philips,Purple,Standard,Plastic,799,"1,095",27%,4.4,In Stock,Ahmedabad,https://www.reliancedigital.in/philips-hp8100-46-hair-dryer/p/491432846
RLD-0009,Prestige PKOSS Electric Kettle 1.5L,Home & Kitchen,Appliances,Prestige,Steel/Black,1.5L,Stainless Steel,699,"1,495",53%,4.3,In Stock,Surat,https://www.reliancedigital.in/prestige-pkoss-electric-kettle/p/491430204
RLD-0010,boAt Airdopes 141 Bluetooth Earbuds,Electronics,Earbuds,boAt,Black,Standard,Plastic,999,"4,490",78%,4.5,In Stock,Kolkata,https://www.reliancedigital.in/boat-airdopes-141-bluetooth-earbuds/p/492574176
